hierarchyId	pCFID	name	fileName	verb	object	activity
13.3.1.3.2	17477	Define sampling plan	17477-DefineSamplingPlan.mdx	Define	Sampling Plan	Develop quality controls
13.3.1.3.3	17478	Identify measurement methods	17478-IdentifyMeasurementMethods.mdx	Identify	Measurement Methods	Develop quality controls
13.3.1.3.4	17479	Define required competencies	17479-DefineRequiredCompetencies.mdx	Define	Required Competencies	Develop quality controls
13.3.2.1.1	17484	Conduct test and collect data	17484-ConductTestAndCollectData.mdx	Conduct	Test And Collect Data	Test against quality plan
13.3.2.1.2	17485	Record result(s)	17485-RecordResultS.mdx	Record	Result(s)	Test against quality plan
13.3.2.1.3	17486	Determine disposition of result(s)	17486-DetermineDispositionOfResultS.mdx	Determine	Disposition Of Result(s)	Test against quality plan
13.3.2.2.1	17488	Assess sample significance	17488-AssessSampleSignificance.mdx	Assess	Sample Significance	Assess results of tests
13.3.2.2.2	17489	Summarize result(s)	17489-SummarizeResultS.mdx	Summarize	Result(s)	Assess results of tests
13.3.2.2.3	17490	Recommend actions	17490-RecommendActions.mdx	Recommend	Actions	Assess results of tests
13.3.2.2.4	17491	Decide next steps	17491-DecideNextSteps.mdx	Decide	Next Steps	Assess results of tests
13.3.4.6.1	17505	Reward quality excellence	17505-RewardQualityExcellence.mdx	Reward	Quality Excellence	Create environment and capability for EQMS improvement(s)
13.3.4.6.2	17506	Create and maintain quality partnerships	17506-CreateAndMaintainQualityPartnerships.mdx	Create	And Maintain Quality Partnerships	Create environment and capability for EQMS improvement(s)
13.3.4.6.3	17507	Maintain talent capabilities and competencies	17507-MaintainTalentCapabilitiesAndCompetencies.mdx	Maintain	Talent Capabilities And Competencies	Create environment and capability for EQMS improvement(s)
13.3.4.6.4	17508	Incorporate EQMS messaging into communication channels	17508-IncorporateEqmsMessagingIntoCommunicationChannels.mdx	Incorporate	EQMS Messaging Into Communication Channels	Create environment and capability for EQMS improvement(s)
13.3.4.6.5	17509	Assure independent EQMS management access to appropriate authority in the organization	17509-AssureIndependentEqmsManagementAccessToAppropriateAuthorityInTheOrganization.mdx	Assure	Independent EQMS Management Access To Appropriate Authority In Organization	Create environment and capability for EQMS improvement(s)
13.3.4.6.6	17510	Transfer proven EQMS methods	17510-TransferProvenEqmsMethods.mdx	Transfer	Proven EQMS Methods	Create environment and capability for EQMS improvement(s)
